Train Loss	Val Loss 	Train Acc	Val Acc  	
  0.605505	  0.694228	 76.325000	 50.591667	
  0.495208	  0.728625	 84.062500	 50.479167	
  0.466065	  0.762031	 84.150000	 50.408333	
  0.454601	  0.779617	 83.979167	 50.479167	
  0.449040	  0.812699	 83.904167	 50.358333	
  0.445221	  0.837630	 83.908333	 50.270833	
  0.442327	  0.846125	 83.833333	 50.291667	
  0.439866	  0.849470	 84.054167	 50.329167	
  0.437345	  0.852713	 84.054167	 50.412500	
  0.436258	  0.868205	 83.945833	 50.316667	
  0.433702	  0.879934	 84.150000	 50.279167	
  0.431393	  0.899044	 84.200000	 50.233333	
  0.429907	  0.910515	 84.108333	 50.212500	
  0.428149	  0.924963	 84.212500	 50.187500	
  0.425992	  0.935836	 84.320833	 50.162500	
  0.424573	  0.918993	 84.291667	 50.295833	
  0.424391	  0.933325	 84.183333	 50.262500	
  0.421580	  0.945099	 84.358333	 50.237500	
  0.419640	  0.942206	 84.370833	 50.329167	
  0.418555	  0.973738	 84.454167	 50.187500	
  0.417269	  0.987775	 84.466667	 50.170833	
  0.416036	  0.983416	 84.445833	 50.191667	
  0.414752	  0.963138	 84.454167	 50.416667	
  0.413665	  1.004707	 84.475000	 50.162500	
  0.412441	  1.003961	 84.483333	 50.241667	
  0.411170	  1.032848	 84.404167	 50.137500	
  0.409769	  1.020070	 84.383333	 50.262500	
  0.409005	  1.027824	 84.387500	 50.254167	
  0.407875	  1.079578	 84.425000	 50.079167	
  0.407713	  1.048574	 84.300000	 50.241667	
  0.406280	  1.041901	 84.437500	 50.354167	
  0.405017	  1.062761	 84.408333	 50.254167	
  0.404165	  1.092994	 84.412500	 50.125000	
  0.403094	  1.087657	 84.400000	 50.225000	
  0.403103	  1.088692	 84.312500	 50.266667	
